sub_id,label,window_index,window_start_sec,status,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate
005,hard,0,0.0,ok,124.74576271186442,480.9782608695652,165.35666594686285,135.53168081740267,204.07723631594226,0.8823529411764706,0.7647058823529411,125.0,144.09349474989756,186.4427371806283,84399.46962747353,0.772856572097511,0.27141952411110104
005,hard,1,15.0,ok,175.87786259541986,341.1458333333333,135.11357032529332,124.80360426122853,206.78076299299582,0.8448275862068966,0.7931034482758621,85.9375,146.1043580665764,113.0567172107893,51893.07593060232,1.2923102816984435,0.22231114668089458
005,hard,2,30.0,ok,125.6441717791411,477.5390625,115.21368325879784,83.32316018633415,180.53468762955222,1.0,1.0,109.375,123.98883006331155,92.93263479195562,36199.34272447472,1.3341796489562587,0.39292730844793716
005,hard,3,45.0,ok,124.54054054054055,481.7708333333333,86.25257896707913,85.9375,185.20733736140153,1.0,1.0,54.6875,116.00970628841793,60.7669890082189,22146.84762509893,1.9090909090909096,0.3462603878116344
005,hard,4,45.09375,ok,114.6268656716418,523.4375,72.02769107260069,--,nan,nan,nan,70.3125,nan,nan,nan,nan,0.4780114722753346
006,easy,0,0.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
006,easy,1,15.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
006,easy,2,30.0,ok,144.26519337016575,415.9007352941176,115.81702964623548,128.43822326983513,194.8879313953828,0.8571428571428571,0.8095238095238095,62.5,136.42473751676883,107.20742515432387,45948.13253171293,1.272530678918806,0.3539321865930488
006,easy,3,45.0,ok,171.06382978723403,350.74626865671644,152.09694254029873,139.58527672776478,216.60030033258647,0.9166666666666666,0.8,78.125,153.1590983859685,158.6234663593666,76323.82198908515,0.9655513266806413,0.3834355828220859
006,easy,4,60.0,ok,166.95652173913044,359.375,145.49373975818867,120.95047117487978,203.31209857317765,0.9180327868852459,0.819672131147541,78.125,143.64648131084087,153.63429712717934,69331.89055347462,0.934989673509747,0.20484247613585155
006,easy,5,73.84375,ok,180.60138781804164,332.2233606557377,136.5355297292983,103.66525153106994,191.6978009133125,0.94,0.84,78.125,135.42900584808262,140.57290701803103,59808.538386503795,0.9634075919815146,0.14823599169878446
006,hard,0,0.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
006,hard,1,15.0,failed_hp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
006,hard,2,30.0,ok,115.19999999999999,520.8333333333334,140.41264831045515,188.52799789310694,260.44270703138017,0.6666666666666666,0.6666666666666666,62.5,184.07792981449913,114.59812877962567,66271.85400766571,1.6062908860273313,0.12810658467845248
006,hard,3,45.0,ok,126.46706586826348,474.4318181818182,147.37173124253337,174.34307503454215,223.98861229424142,0.5,0.5,78.125,127.53771654151959,55.792409597991,22354.43141834557,2.2859331127743947,0.3835826620636747
006,hard,4,60.0,ok,134.57943925233644,445.8333333333333,158.10015724920146,133.02555930598584,214.7484088691744,0.8421052631578947,0.8421052631578947,101.5625,150.91076729854086,171.2008309167305,81166.34096898246,0.88148384847467,0.374195479718605
006,hard,5,68.75,ok,89.89966555183946,667.4107142857143,200.57017735924342,149.50729265007627,337.05603515340493,1.0,1.0,218.75,238.22076304227647,65.05206248331663,48684.48211910635,3.662001694463892,0.4283572499464553
007,easy,0,0.0,ok,71.77570093457943,835.9375,170.38893544745406,0.0,31.25,1.0,0.0,93.75,0.0,0.0,0.0,nan,0.19948134849391583
007,easy,1,15.0,ok,73.22033898305085,819.4444444444445,196.0037920472805,118.5396528827192,200.30088044822304,1.0,1.0,93.75,135.7168147999519,225.5274489021976,96157.4501562679,0.6017751518078269,0.27129679869777534
007,easy,2,16.015625,ok,75.29411764705883,796.875,196.55852539701758,117.1875,241.30383142938283,1.0,1.0,70.3125,149.15533665653737,138.10679320049758,64714.8144889255,1.0799999999999998,0.31387319522912743
007,hard,0,0.0,ok,113.77777777777777,527.34375,132.95193573394027,88.33308765689107,182.21724671391564,1.0,0.85,117.1875,128.16310409006175,138.26138628518086,55669.048343262635,0.9269623828717428,0.203334688897926
007,hard,1,15.0,ok,130.77399380804954,458.8068181818182,158.8592824787043,127.78802740815661,230.05592464189624,0.972972972972973,0.8378378378378378,109.375,162.6738302982851,150.47419226377684,76900.57481424109,1.081074620511155,0.24789291026276644
007,hard,2,21.078125,ok,141.59789288849868,423.73511904761904,117.68013421927586,92.83684448899592,172.476564339078,0.9393939393939394,0.7575757575757576,78.125,121.79333605268039,105.05390058007873,40196.25394106266,1.1593413988454602,0.1687383992350526
